日期,年份,演唱会场次,酒店房价,烟花表演,人民币兑港币汇率,航空旅客,酒店入住率,旅游业收入,访客人数,高铁乘客量
2015-11-30,2015,3,1441,0,1.2127,16920,83,20,4748715,0
2015-12-31,2015,12,1454,1,1.1939,16920,87,20,5061064,0
2016-01-31,2016,9,1348,0,1.1782,17149,84,20.83,5225578,0
2016-02-29,2016,8,1265,1,1.1792,17149,85,20.83,4295731,0
2016-03-31,2016,12,1283,0,1.1992,17149,86,20.83,4213801,0
2016-04-30,2016,7,1354,0,1.1979,17149,85,20.83,4686316,0
2016-05-31,2016,10,1165,0,1.1803,17149,84,20.83,4453118,0
2016-06-30,2016,4,1133,0,1.1688,17149,85,20.83,4285730,0
2016-07-31,2016,6,1146,0,1.1676,17149,87,20.83,5049022,0
2016-08-31,2016,15,1173,0,1.1591,17149,89,20.83,5086496,0
2016-09-30,2016,15,1243,0,1.1624,17149,86,20.83,4422441,0
2016-10-31,2016,7,1459,1,1.1499,17149,87,20.83,4953705,0
2016-11-30,2016,2,1415,0,1.124,17149,85,20.83,4646938,0
2016-12-31,2016,21,1461,1,1.1132,17149,88,20.83,5336027,0
2017-01-31,2017,16,1336,0,1.127,17528,85,19,5475176,0
2017-02-28,2017,5,1182,1,1.1295,17528,86,19,4181417,0
2017-03-31,2017,3,1292,0,1.1277,17528,87,19,4586186,0
2017-04-30,2017,3,1335,0,1.1249,17528,86,19,4775834,0
2017-05-31,2017,12,1151,0,1.1365,17528,85,19,4587014,0
2017-06-30,2017,5,1105,0,1.1495,17528,86,19,4203256,0
2017-07-31,2017,0,1145,0,1.1586,17528,88,19,5167700,0
2017-08-31,2017,15,1182,0,1.1862,17528,90,19,5023433,0
2017-09-30,2017,12,1243,0,1.175268,17528,87,19,4635161,0
2017-10-31,2017,10,1478,1,1.1738,17528,88,19,5278677,0
2017-11-30,2017,5,1470,0,1.1814,17528,86,19,4971119,0
2017-12-31,2017,13,1522,1,1.1968,17528,89,19,5587184,0
2018-01-31,2018,10,1323,0,1.2371,17825,86,21.05,5333562,0
2018-02-28,2018,6,1357,0,1.2389,17825,87,21.05,5280971,0
2018-03-31,2018,16,1433,0,1.2485,17825,88,21.05,4995122,0
2018-04-30,2018,7,1456,0,1.2382,17825,87,21.05,5301602,0
2018-05-31,2018,6,1212,0,1.222,17825,86,21.05,4953003,0
2018-06-30,2018,10,1212,0,1.1841,17825,87,21.05,4741779,0
2018-07-31,2018,26,1206,0,1.1512,17825,89,21.05,5461222,0
2018-08-31,2018,11,1295,0,1.1468,17825,91,21.05,5895951,0
2018-09-30,2018,9,1313,0,1.1404,17825,88,21.05,4718536,369
2018-10-31,2018,0,1556,1,1.126,17825,89,21.05,5884512,1629
2018-11-30,2018,6,1564,0,1.1267,17825,87,21.05,5995027,1477
2018-12-31,2018,15,1578,1,1.1382,17825,90,21.05,6586268,1827
2019-01-31,2019,15,1345,0,1.1673,17492,84,21.33,6784406,1713
2019-02-28,2019,9,1378,1,1.1737,17492,85,21.33,5589628,1740
2019-03-31,2019,7,1456,0,1.1698,17492,86,21.33,5860346,1557
2019-04-30,2019,7,1391,0,1.1647,17492,85,21.33,5577201,1770
2019-05-31,2019,10,1246,0,1.1371,17492,84,21.33,5916541,1677
2019-06-30,2019,4,1159,0,1.1362,17492,85,21.33,5143734,1494
2019-07-31,2019,13,1114,0,1.1362,17492,87,21.33,5196969,1626
2019-08-31,2019,21,1061,0,1.098,17492,89,21.33,3590571,1144
2019-09-30,2019,2,1016,0,1.1005,17492,86,21.33,3104049,936
2019-10-31,2019,4,1134,0,1.110823,17492,87,21.33,3311571,1067
2019-11-30,2019,1,1119,0,1.112783,17492,85,21.33,2646127,1059
2019-12-31,2019,0,1053,1,1.113993,17492,88,21.33,3191466,1141
2020-01-31,2020,0,1012,0,1.11946,6694,59,19.28,3207802,1033
2020-02-29,2020,0,964,0,1.114804,6694,29,19.28,199123,0
2020-03-31,2020,0,904,0,1.0923,6694,32,19.28,82285,0
2020-04-30,2020,0,849,0,1.094707,6694,34,19.28,4125,0
2020-05-31,2020,0,863,0,1.085879,6694,37,19.28,8139,0
2020-06-30,2020,0,878,0,1.094379,6694,44,19.28,14606,0
2020-07-31,2020,0,870,0,1.105711,6694,49,19.28,20568,0
2020-08-31,2020,0,855,0,1.130033,6694,50,19.28,4449,0
2020-09-30,2020,0,829,0,1.136797,6694,52,19.28,9132,0
2020-10-31,2020,0,850,0,1.154537,6694,55,19.28,7817,0
2020-11-30,2020,0,842,0,1.179139,6694,54,19.28,5962,0
2020-12-31,2020,0,908,0,1.188398,6694,58,19.28,4867,0
2021-01-31,2021,0,844,0,1.206051,6034,51,3.73,4368,0
2021-02-28,2021,0,870,0,1.197907,6034,52,3.73,5495,0
2021-03-31,2021,2,828,0,1.183211,6034,52,3.73,6675,0
2021-04-30,2021,4,855,0,1.199563,6034,57,3.73,5706,0
2021-05-31,2021,0,814,0,1.21862,6034,58,3.73,5305,0
2021-06-30,2021,5,810,0,1.201324,6034,64,3.73,6200,0
2021-07-31,2021,11,844,0,1.202195,6034,67,3.73,8666,0
2021-08-31,2021,6,863,0,1.204086,6034,71,3.73,10811,0
2021-09-30,2021,5,842,0,1.202803,6034,71,3.73,9879,0
2021-10-31,2021,0,881,0,1.213988,6034,71,3.73,9353,0
2021-11-30,2021,2,859,0,1.220422,6034,70,3.73,9492,0
2021-12-31,2021,9,1009,0,1.223677,6034,72,3.73,9448,0
2022-01-31,2022,0,932,0,1.224603,5779,57,5.07,7064,0
2022-02-28,2022,0,980,0,1.231898,5779,55,5.07,2626,0
2022-03-31,2022,0,1068,0,1.233211,5779,59,5.07,1800,0
2022-04-30,2022,0,1095,0,1.186678,5779,65,5.07,4692,0
2022-05-31,2022,16,1066,0,1.178225,5779,70,5.07,18710,0
2022-06-30,2022,5,1092,0,1.171028,5779,75,5.07,41112,0
2022-07-31,2022,7,1099,0,1.163956,5779,75,5.07,48048,0
2022-08-31,2022,7,1154,0,1.135614,5779,72,5.07,59610,0
2022-09-30,2022,5,1142,0,1.100899,5779,67,5.07,66037,0
2022-10-31,2022,5,1023,0,1.081085,5779,59,5.07,80524,0
2022-11-30,2022,10,1006,0,1.091043,5779,66,5.07,113763,0
2022-12-31,2022,18,1081,0,1.134691,5779,72,5.07,160578,0
2023-01-31,2023,14,1048,0,1.160927,11505,66,14.83,498689,264
2023-02-28,2023,5,1162,1,1.129465,11505,78,14.83,1461969,783
2023-03-31,2023,8,1390,0,1.142379,11505,84,14.83,2454093,1205
2023-04-30,2023,12,1532,0,1.146604,11505,86,14.83,2892256,1979
2023-05-31,2023,7,1356,0,1.106397,11505,82,14.83,2828384,1751
2023-06-30,2023,1,1323,0,1.080833,11505,82,14.83,2748488,1610
2023-07-31,2023,0,1380,0,1.097965,11505,87,14.83,3588530,2192
2023-08-31,2023,9,1477,0,1.092789,11505,87,14.83,4077746,2495
2023-09-30,2023,2,1400,0,1.082177,11505,78,14.83,2771826,1583
2023-10-31,2023,0,1533,1,1.083861,11505,83,14.83,3458778,2055
2023-11-30,2023,11,1497,0,1.118156,11505,87,14.83,3288915,1815
2023-12-31,2023,15,1646,1,1.112994,11505,87,14.83,3929986,2367
2024-01-31,2024,17,1444,0,1.106792,15135,85,17.28,3825617,2120
2024-02-29,2024,6,1492,1,1.107549,15135,86,17.28,4001190,2357
2024-03-31,2024,11,1356,0,1.103204,15135,84,17.28,3401991,2070
2024-04-30,2024,5,1401,0,1.103922,15135,84,17.28,3391381,2118
2024-05-31,2024,2,1301,0,1.099723,15135,78,17.28,3398458,1967
2024-06-30,2024,1,1213,0,1.074398,15135,81,17.28,3132598,2046
2024-07-31,2024,13,1202,0,1.077026,15135,86,17.28,3921630,2337
2024-08-31,2024,13,1231,0,1.099244,15135,90,17.28,4453877,2703
2024-09-30,2024,1,1170,0,1.108502,15135,81,17.28,3062003,1871
2024-10-31,2024,3,1353,1,1.09199,15135,87,17.28,4090054,2230