date,total arrivals
2013-01,4632926.0
2013-02,4022120.0
2013-03,4087286.0
2013-04,4279889.0
2013-05,4142301.0
2013-06,4201331.0
2013-07,4831521.0
2013-08,5358087.0
2013-09,4309304.0
2013-10,4632034.0
2013-11,4579681.0
2013-12,5222324.0
2014-01,5455371.0
2014-02,4417376.0
2014-03,4825234.0
2014-04,4747960.0
2014-05,4590579.0
2014-06,4492695.0
2014-07,5373518.0
2014-08,6009577.0
2014-09,4746782.0
2014-10,5213702.0
2014-11,5299680.0
2014-12,5666362.0
2015-01,5609698.0
2015-02,5405689.0
2015-03,4405298.0
2015-04,4789112.0
2015-05,4756215.0
2015-06,4361228.0
2015-07,4923431.0
2015-08,5614852.0
2015-09,4558800.0
2015-10,5073494.0
2015-11,4748715.0
2015-12,5061064.0
2016-01,5225578.0
2016-02,4295731.0
2016-03,4213801.0
2016-04,4686316.0
2016-05,4453118.0
2016-06,4285730.0
2016-07,5049022.0
2016-08,5086496.0
2016-09,4422441.0
2016-10,4953705.0
2016-11,4646938.0
2016-12,5336027.0
2017-01,5475176.0
2017-02,4181417.0
2017-03,4586186.0
2017-04,4775834.0
2017-05,4587014.0
2017-06,4203256.0
2017-07,5167700.0
2017-08,5023433.0
2017-09,4635161.0
2017-10,5278677.0
2017-11,4971119.0
2017-12,5587184.0
2018-01,5333562.0
2018-02,5280971.0
2018-03,4995122.0
2018-04,5301602.0
2018-05,4953003.0
2018-06,4741779.0
2018-07,5461222.0
2018-08,5895951.0
2018-09,4718536.0
2018-10,5884512.0
2018-11,5995027.0
2018-12,6586268.0
2019-01,6784406.0
2019-02,5589628.0
2019-03,5860346.0
2019-04,5577201.0
2019-05,5916541.0
2019-06,5143734.0
2019-07,5196969.0
2019-08,3590571.0
2019-09,3104049.0
2019-10,3311571.0
2019-11,2646127.0
2019-12,3191466.0
2020-01,3207802.0
2020-02,199123.0
2020-03,82285.0
2020-04,4125.0
2020-05,8139.0
2020-06,14606.0
2020-07,20568.0
2020-08,4449.0
2020-09,9132.0
2020-10,7817.0
2020-11,5962.0
2020-12,4867.0
2021-01,4368.0
2021-02,5495.0
2021-03,6675.0
2021-04,5706.0
2021-05,5305.0
2021-06,6200.0
2021-07,8666.0
2021-08,10811.0
2021-09,9879.0
2021-10,9353.0
2021-11,9492.0
2021-12,9448.0
2022-01,7064.0
2022-02,2626.0
2022-03,1800.0
2022-04,4692.0
2022-05,18710.0
2022-06,41112.0
2022-07,48048.0
2022-08,59610.0
2022-09,66037.0
2022-10,80524.0
2022-11,113763.0
2022-12,160578.0
2023-01,498689.0
2023-02,1461969.0
2023-03,2454093.0
2023-04,2892256.0
2023-05,2828384.0
2023-06,2748488.0
2023-07,3588530.0
2023-08,4077746.0
2023-09,2771826.0
2023-10,3458778.0
2023-11,3288915.0
2023-12,3929986.0
2024-01,3825617.0
2024-02,4001190.0
2024-03,3401991.0
2024-04,3391381.0
2024-05,3398458.0
2024-06,3132598.0
2024-07,3921630.0
2024-08,4453877.0
2024-09,3062003.0
2024-10,4090054.0
2024-11,3568437.0
2024-12,4255551.0
2025-01,4742066.0